"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or_opposite","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping_violation","hydrant_violation","double_parking_violation"
"1484697303","JER1863","NY","PAS","2022-06-10T00:00:00.000","67","SDN","TOYOT","P","34330","179","0","20221210.0","0010","10","1","160195","0001","0000","1037A",,"NY","F",,"W 28TH ST","CHELSEA PK","0","408","E3",,"BBBBBBB","ALL","ALL","BLK","0","2004","-","0",,,,,
"1484697315","KEV4487","NY","PAS","2022-06-13T00:00:00.000","51","SUBN","JEEP","K","34310","16400","11010","20220908.0","0010","10","1","160195","0001","0000","1045A",,"NY","O","436","27TH DR",,"0","408","F3",,"BBBBBBB","ALL","ALL","GRAY","0","2017","-","0",,,,,
"1484697625","H73NYD","NJ","PAS","2022-06-19T00:00:00.000","63","SDN","JEEP","N","30640","13015","28540","0.00000000","0001","1","1","161315","0001","0000","1116A",,"NY",,"109","SOUTH ST",,"0","408","F3",,"BBBBBBB","ALL","ALL","GRAY","0","0","-","0",,,,,
"1484697674","GJC9296","NY","PAS","2022-06-19T00:00:00.000","63","SUBN","LEXUS","N","30640","13015","28540","20230820.0","0001","1","1","161315","0001","0000","1052A",,"NY",,"109","SOUTH ST",,"0","408","F3",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,
"1484697686","M51PUV","NJ","PAS","2022-06-19T00:00:00.000","63","SDN","HYUND","N","30640","13015","28540","0.00000000","0001","1","1","161315","0001","0000","1107A",,"NY",,"109","SOUTH ST",,"0","408","F3",,"BBBBBBB","ALL","ALL","BLUE","0","0","-","0",,,,,
"1484697698","H73NYD","NJ","PAS","2022-06-23T00:00:00.000","63",,"JEEP","K","30640","13015","28540","0.00000000","0001","1","1","161315","0001","0000","1050A",,"NY","O","109","SOUTH ST",,"0","408","E3",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,
"1484697728","M51PUV","NJ","PAS","2022-06-23T00:00:00.000","63",,"HYUND","K","30640","13015","28540","0.00000000","0001","1","1","161315","0001","0000","1101A",,"NY","O","109","SOUTH ST",,"0","408","F3",,"BBBBBBB","ALL","ALL","BLUE","0","0","-","0",,,,,
"1484698204","KJJ8637","NY","PAS","2022-06-20T00:00:00.000","67","SUBN","TOYOT","N","11585","26390","15010","20230120.0","0005","5","1","160954","0001","0000","1205P",,"NY","F",,"COLEMAN PLAYGROUND",,"0","408","E3",,"BBBBBBB","ALL","ALL","WHITE","0","2021","-","0",,,,,
"1484698381","JEC8631","NY","PAS","2022-06-19T00:00:00.000","98","SUBN","NISSA","N","0","0","0","20230121.0","0010","10","1","161348","0001","0000","0535P",,"NY",,,"S/S W 28TH STREET","W/O 9TH AVENUE","0","408","B",,"BBBBBBB","ALL","ALL","BLK","0","2002","-","0",,,,,
"1484698721","K21PNH","NJ","PAS","2022-06-25T00:00:00.000","10","SUBN","JEEP","K","33190","25190","31990","0.00000000","0006","6","1","161134","0001","0000","0307P",,"NY","O","40","WASHINGTON SQ SO",,"0","408","B",,"BBBBBBB","ALL","ALL","RED","0","0","-","0",,,,,
