Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4815987385,GKB8720,NY,PAS,12/01/2022,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0141P,,BX,,,NB BAILEY AVE @ W 19,3RD ST,0,1180,B,T,,,,BK,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4820216168,L95CUG,NJ,PAS,12/30/2022,36,SD,HONDA,V,0,0,0,0,,0,0,0,,,0856P,,MN,,,SB BROADWAY @ W 92ND, ST,0,1180,B,T,,,,,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9017883674,KVG2981,NY,PAS,11/22/2022,38,SUBN,AUDI,T,10110,17210,17230,20240420,9.0,9,9,370851,T102,S,0751P,,NY,F,186,2nd Ave,,0,408,H1,, YYYYYY,0830A,1000P,WH,,2022,103713,0,99,38-Failure to Dsplay Meter Rec,,,
9012876862,XGTZ97,NJ,PAS,10/14/2022,84,REFG,HIN,T,21705,13610,21700,20228888,9.0,9,9,357360,T105,C,0815A,,NY,O,1,Great Jones St,,0,408,K7,,YYYYYYY,,,WHITE,,0,,0,005,84-Platform lifts in low posit,,,
4802341532,KVH4275,NY,PAS,09/23/2022,36,4DSD,KIA,V,0,0,0,0,,0,0,0,,,1016A,,BX,,,SB GRAND CONCOURSE @, E KINGSBRIDGE RD,0,1180,B,T,,,,BK,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8854688605,HYC6573,NY,PAS,07/15/2022,70,4DSD,TOYOT,T,37490,0,0,20220528,34.0,34,34,371187,T103,Q,0258P,,NY,I,N,W 187th St,50ft E/of Broadway,0,408,J3,,YYYYYYY,,,RD,,2007,,0,67,70A-Reg. Sticker Expired (NYS),,,
4025158127,T686598C,NY,OMT,07/13/2022,5,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0132P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BK,,2016,,0,,BUS LANE VIOLATION,,,
2007670057,DCG7177,FL,PAS,08/18/2022,71,SUBN,CHEVR,S,11790,7990,8190,0,114.0,114,0,686242,QW01,,0152A,00000,Qns,F,31-29,56 STREET,,0,408,j6,,,,,WH,,0,,0,,Expired Inspection Sticker (NYS Vehicles Only),,,
9011729092,54746ML,NY,COM,10/27/2022,40,VAN,FORD,T,18820,0,0,20230331,19.0,19,19,364004,T103,Q,0155P,,NY,I,N,E 92nd St,2ft W/of Madison Ave,0,408,E2,,YYYYYYY,,,WH,,2018,,0,18,40-Fire Hydrant,,,
4786579919,JBT6495,NY,PAS,07/12/2022,36,4DSD,KIA,V,0,0,0,0,,0,0,0,,,0806A,,BX,,,EB BRUCKNER BLVD @ W,HITE PLAINS RD,0,1180,B,T,,,,BR,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4801857577,BA53929,CT,PAS,09/22/2022,36,HB,MINI,V,18750,40404,40404,0,,0,0,0,,,1130P,,BK,,,WB AVE J @ E 88TH ST,,0,1180,B,T,,,,,,2005,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8810949249,HME8477,OH,PAS,10/13/2022,53,SUBN,HONDA,T,5430,6330,6430,88888888,72.0,72,72,363544,MTTF,D,0220P,,K,F,500,4th Ave,,0,408,F6,,YYYYYYY,,,BLUE,,0,,0,01,53-Safety Zone,,,
9023184208,V86RNE,NJ,PAS,01/14/2023,14,SUBN,CHRYS,T,10410,17930,17950,88888888,17.0,17,17,364909,MTTF,B,0539P,,NY,F,585,5th Ave,,0,408,C,,YYYYYYY,,,RED,,0,,0,01,14-No Standing,,,
8906940166,XGJS35,NJ,PAS,11/03/2022,69,VAN,FORD,T,15710,35550,35570,88888888,24.0,24,24,363966,T103,G,0935A,,NY,F,609,Columbus Ave,,0,408,H1,, YYYYY,0700A,0700P,WHITE,,0,113861,0,60,69-Fail to Dsp Prking Mtr Rcpt,,,
8924486500,2962546,IN,PAS,09/30/2022,84,DELV,INTER,T,18070,10410,25390,88888888,17.0,17,17,367965,T106,E,0838A,,NY,O,19,E 54th St,,0,408,K7,,YYYYYYY,,,WHITE,,0,,0,05,84-Platform lifts in low posit,,,
4803649856,HWX7820,NY,PAS,09/29/2022,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,1159P,,BK,,,EB 60TH ST @ 17TH AV,E,0,1180,B,T,,,,BL,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8853945692,FCN3300,NY,PAS,11/19/2022,21,SUBN,HONDA,T,51090,21490,21540,20240815,102.0,102,102,353179,T402,B,0743A,,Q,F,122-01,Jamaica Ave,,0,408,D1,, YYYYYY,0730A,0800A,GY,,2004,,0,33,21-No Parking (street clean),,,
9013504929,543K870,NJ,PAS,10/21/2022,21,SUBN,FORD,T,13630,31470,67430,88888888,75.0,75,75,368513,T301,E,0903A,,K,F,137,Autumn Ave,,0,408,D1,,  Y  Y,0800A,0930A,BLACK,,0,,0,M,21-No Parking (street clean),,,
5124895410,HES3155,NY,PAS,12/14/2022,7,SUBN,DODGE,V,0,0,0,0,,0,0,0,,,0747A,,BX,,,3RD AVE (S/B) @ E 13,5TH ST,0,1111,D,T,,,,BL,,2006,,0,,FAILURE TO STOP AT RED LIGHT,,,
8907603583,KUE1758,NY,PAS,07/19/2022,20,4DSD,ME/BE,T,61390,54580,52390,20231206,109.0,109,109,352079,T740,X,0550A,,Q,F,136-23,Sanford Ave,,0,408,D,,YYYYYYY,,,RD,,2006,,0,01,20A-No Parking (Non-COM),,,
